timestamp,symbol,strategy,order_type,trigger_price,execution_price,quantity,order_value,order_id,sl_order_id,status,pnl,remarks
2026-01-28 09:17:17,TORNTPOWER,TRENDRIDE,BUY,1306.6,1306.6,10,13066.0,260128190071721,,PLACED,0,"TrendRide signal from 2026-01-27, SL at ₹1280.47"
2026-01-28 09:17:18,ASTRAL,TRENDRIDE,BUY,1400.0,1400.0,10,14000.0,260128190071897,,PLACED,0,"TrendRide signal from 2026-01-27, SL at ₹1372.0"
2026-01-28 09:17:19,SHRINGARMS,TRENDRIDE,BUY,223.0,223.0,10,2230.0,260128190071989,,PLACED,0,"TrendRide signal from 2026-01-27, SL at ₹218.54"
2026-01-28 09:17:19,INDIGOPNTS,TRENDRIDE,BUY,1069.0,1069.0,10,10690.0,260128190072121,,PLACED,0,"TrendRide signal from 2026-01-27, SL at ₹1047.62"
2026-01-28 09:17:20,HAVELLS,TRENDRIDE,BUY,1294.8,1294.8,10,12948.0,260128190072220,,PLACED,0,"TrendRide signal from 2026-01-27, SL at ₹1268.9"
2026-01-28 09:37:14,ADANIPORTS,MOMENTUM,BUY,1363.51,1363.51,20,27270.2,260128190253101,,PLACED,0,"Momentum -0.35% below HIGH, SL at ₹1336.2"
2026-01-28 09:37:14,HINDALCO,MOMENTUM,BUY,981.55,981.55,20,19631.0,260128190253157,,PLACED,0,"Momentum -0.35% below HIGH, SL at ₹961.9"
2026-01-28 09:37:15,ACC,MOMENTUM,BUY,1693.05,1693.05,20,33861.0,260128190253207,,PLACED,0,"Momentum -0.35% below HIGH, SL at ₹1659.2"
2026-01-28 09:37:15,APLAPOLLO,MOMENTUM,BUY,2080.59,2080.59,20,41611.8,260128190253248,,PLACED,0,"Momentum -0.35% below HIGH, SL at ₹2039.0"
2026-01-28 09:37:16,CAMS,MOMENTUM,BUY,708.91,708.91,20,14178.2,260128190253296,,PLACED,0,"Momentum -0.35% below HIGH, SL at ₹694.75"
2026-01-28 09:37:16,CLEAN,MOMENTUM,BUY,856.94,856.94,20,17138.8,260128190253339,,PLACED,0,"Momentum -0.35% below HIGH, SL at ₹839.8"
2026-01-28 09:37:17,DELHIVERY,MOMENTUM,BUY,402.54,402.54,20,8050.8,260128190253415,,PLACED,0,"Momentum -0.35% below HIGH, SL at ₹394.5"
2026-01-28 09:37:17,GHCL,MOMENTUM,BUY,525.16,525.16,20,10503.2,260128190253455,,PLACED,0,"Momentum -0.35% below HIGH, SL at ₹514.65"
2026-01-28 09:37:18,GUJGASLTD,MOMENTUM,BUY,404.28,404.28,20,8085.6,260128190253499,,PLACED,0,"Momentum -0.35% below HIGH, SL at ₹396.2"
2026-01-28 09:37:19,JBCHEPHARM,MOMENTUM,BUY,1881.29,1881.29,20,37625.8,260128190253571,,PLACED,0,"Momentum -0.35% below HIGH, SL at ₹1843.7"
2026-01-28 09:37:19,LICHSGFIN,MOMENTUM,BUY,513.7,513.7,20,10274.0,260128190253620,,PLACED,0,"Momentum -0.35% below HIGH, SL at ₹503.45"
2026-01-28 09:37:20,MPHASIS,MOMENTUM,BUY,2815.11,2815.11,20,56302.2,260128190253672,,PLACED,0,"Momentum -0.35% below HIGH, SL at ₹2758.8"
2026-01-28 09:37:20,RATNAMANI,MOMENTUM,BUY,2036.95,2036.95,20,40739.0,260128190253718,,PLACED,0,"Momentum -0.35% below HIGH, SL at ₹1996.2"
2026-01-28 09:37:21,SFL,MOMENTUM,BUY,520.62,520.62,20,10412.4,260128190253778,,PLACED,0,"Momentum -0.35% below HIGH, SL at ₹510.2"
2026-01-28 09:37:21,SIEMENS,MOMENTUM,BUY,2916.26,2916.26,20,58325.2,260128190253835,,PLACED,0,"Momentum -0.35% below HIGH, SL at ₹2857.9"
