timestamp,symbol,strategy,order_type,trigger_price,execution_price,quantity,order_value,order_id,sl_order_id,status,pnl,remarks
2026-01-05 09:07:06,EQUITASBNK,MOMENTUM,BUY,64.93,64.93,400,25972.0,260105190039737,,PLACED,0,"Momentum +1.2%, SL at ₹63.63"
2026-01-05 09:07:08,SUPREMEIND,BREAKOUT,BUY,3538.0,3540.0,100,354000.0,260105190039815,,PLACED,0,"Resistance breakout, SL at ₹3469.2"
2026-01-05 09:07:09,MSUMI,MOMENTUM,BUY,50.45,50.45,400,20180.0,260105190039842,,PLACED,0,"Momentum +1.2%, SL at ₹49.44"
2026-01-05 09:07:10,ONGC,MOMENTUM,BUY,244.36,244.36,400,97744.0,260105190039868,,PLACED,0,"Momentum +1.2%, SL at ₹239.47"
2026-01-05 09:07:11,METROPOLIS,MOMENTUM,BUY,1956.5,1956.5,150,293475.0,260105190039914,,PLACED,0,"Momentum +1.2%, SL at ₹1917.37"
2026-01-05 09:07:13,CSBBANK,MOMENTUM,BUY,488.95,488.95,400,195580.0,260105190039954,,PLACED,0,"Momentum +1.2%, SL at ₹479.17"
2026-01-05 09:15:01,NYKAA,MOMENTUM,BUY,268.08,268.08,400,107232.0,260105190046994,,PLACED,0,"Momentum +1.2%, SL at ₹262.72"
2026-01-05 09:15:02,ONGC,MOMENTUM,BUY,244.36,244.36,400,97744.0,260105190047905,260105190048118,PLACED,0,"Momentum +1.2%, SL at ₹239.47"
2026-01-05 09:15:04,EQUITASBNK,MOMENTUM,BUY,64.93,64.93,400,25972.0,260105190048541,,PLACED,0,"Momentum +1.2%, SL at ₹63.63"
2026-01-05 09:15:05,METROPOLIS,MOMENTUM,BUY,1956.5,1956.5,150,293475.0,260105190049016,,PLACED,0,"Momentum +1.2%, SL at ₹1917.37"
2026-01-05 09:15:06,SFL,MOMENTUM,BUY,600.47,600.47,300,180141.0,260105190049444,,PLACED,0,"Momentum +1.2%, SL at ₹588.46"
