timestamp,symbol,strategy,order_type,trigger_price,execution_price,quantity,order_value,order_id,sl_order_id,status,pnl,remarks
2026-02-09 09:17:15,HINDALCO,TRENDRIDE,BUY,954.4,954.4,1,954.4,260209190084631,,PLACED,0,"TrendRide signal from 2026-02-03, SL at ₹935.31"
2026-02-09 09:17:15,MUTHOOTFIN,TRENDRIDE,BUY,3644.9,3644.9,1,3644.9,260209190084746,,PLACED,0,"TrendRide signal from 2026-02-03, SL at ₹3572.0"
2026-02-09 09:17:16,HAL,TRENDRIDE,BUY,4066.0,4066.0,1,4066.0,260209190084869,,PLACED,0,"TrendRide signal from 2026-02-06, SL at ₹3984.68"
2026-02-09 09:17:20,TITAN,TRENDRIDE,BUY,3978.8,3978.8,1,3978.8,260209190086034,,PLACED,0,"TrendRide signal from 2026-01-30, SL at ₹3899.22"
2026-02-09 09:17:21,GODREJCP,TRENDRIDE,BUY,1153.6,1153.6,1,1153.6,260209190086160,,PLACED,0,"TrendRide signal from 2026-02-04, SL at ₹1130.53"
2026-02-09 09:17:22,VEDL,TRENDRIDE,BUY,676.0,676.0,1,676.0,260209190086277,,PLACED,0,"TrendRide signal from 2026-02-03, SL at ₹662.48"
2026-02-09 09:17:22,CANBK,TRENDRIDE,BUY,147.4,147.4,1,147.4,260209190086419,,PLACED,0,"TrendRide signal from 2026-02-03, SL at ₹144.45"
2026-02-09 09:17:23,ONGC,TRENDRIDE,BUY,256.4,256.4,1,256.4,260209190086538,,PLACED,0,"TrendRide signal from 2026-02-03, SL at ₹251.27"
2026-02-09 09:17:23,SIGNATURE,TRENDRIDE,BUY,882.0,882.0,1,882.0,260209190086663,,PLACED,0,"TrendRide signal from 2026-02-04, SL at ₹864.36"
2026-02-09 09:17:24,BANKBARODA,TRENDRIDE,BUY,285.75,285.75,1,285.75,260209190086768,,PLACED,0,"TrendRide signal from 2026-02-03, SL at ₹280.03"
2026-02-09 09:17:24,BANKINDIA,TRENDRIDE,BUY,157.7,157.7,1,157.7,260209190086866,,PLACED,0,"TrendRide signal from 2026-02-03, SL at ₹154.55"
2026-02-09 09:17:25,TATACAP,TRENDRIDE,BUY,340.1,340.1,1,340.1,260209190086978,,PLACED,0,"TrendRide signal from 2026-01-30, SL at ₹333.3"
2026-02-09 09:17:25,DALBHARAT,TRENDRIDE,BUY,2069.9,2069.9,1,2069.9,260209190087069,,PLACED,0,"TrendRide signal from 2026-01-30, SL at ₹2028.5"
2026-02-09 09:17:25,SOLARWORLD,TRENDRIDE,BUY,224.1,224.1,1,224.1,260209190087199,,PLACED,0,"TrendRide signal from 2026-02-03, SL at ₹219.62"
2026-02-09 09:17:26,IVALUE,TRENDRIDE,BUY,232.1,232.1,1,232.1,260209190087343,,PLACED,0,"TrendRide signal from 2026-02-06, SL at ₹227.46"
2026-02-09 09:17:27,CUB,TRENDRIDE,BUY,293.6,293.6,1,293.6,260209190087525,,PLACED,0,"TrendRide signal from 2026-02-05, SL at ₹287.73"
2026-02-09 09:17:27,ATUL,TRENDRIDE,BUY,6289.0,6289.0,1,6289.0,260209190087638,,PLACED,0,"TrendRide signal from 2026-02-04, SL at ₹6163.22"
2026-02-09 09:17:28,EUREKAFORB,TRENDRIDE,BUY,509.0,509.0,1,509.0,260209190087930,,PLACED,0,"TrendRide signal from 2026-02-05, SL at ₹498.82"
2026-02-09 09:17:30,CRIZAC,TRENDRIDE,BUY,243.95,243.95,1,243.95,260209190088265,,PLACED,0,"TrendRide signal from 2026-02-04, SL at ₹239.07"
